name,primary_muscle,equipment,experience_level,overview,instructions,tips,video_front,video_side,source_url
Barbell Close Grip Bench Press,Triceps,Barbell,Intermediate,"Lay flat on the bench with your feet on the ground. With a narrow grip on the bar, straighten your arms | Lower the bar to your lower-mid chest | Slowly raise the bar until you've locked your elbows.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-close-grip-bench-press-side.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-close-grip-bench-press-front.mp4#t=0.1,https://musclewiki.com/barbell/male/triceps/barbell-close-grip-bench-press
Barbell Curtsy Lunge,"Glutes, Quads",Barbell,Advanced,Place the barbell on your back | Step your foot back and around while simultaneously bringing the weight down. | Return to start and repeat on other leg.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-curtsy-lunge-side.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-curtsy-lunge-front.mp4#t=0.1,https://musclewiki.com/barbell/male/glutes/barbell-curtsy-lunge
Barbell Silverback Shrug,Traps,Barbell,Intermediate,"Stand with your feet shoulder width apart holding the Barbell with both hands in front just past shoulder width. | Bend forward at the hips with a slight bend in your knees, keeping your back straight. | Engage your shoulder blades, as if you are trying to touch them together. | Release the shrug.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-silverback-shrug-side.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-silverback-shrug-front.mp4#t=0.1,https://musclewiki.com/barbell/male/traps/barbell-silverback-shrug
Barbell Landmine Side Bend,Obliques,Barbell,Intermediate,"Stand straight and hold the end of the Barbell | Keep your hips and shoulders facing forward, bend to one side slowly | Return to the upright position. | Switch hands and repeat.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-landmine-side-bend-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-landmine-side-bend-side.mp4#t=0.1,https://musclewiki.com/barbell/male/obliques/barbell-landmine-side-bend
Barbell Bulgarian Split Squat,"Glutes, Quads",Barbell,Advanced,"Find a box or bench that is roughly knee height or a few inches lower. (The lower the box is the lower the mobility requirement). | You can either place your toes or the top of your foot on the box. Point your front foot forward or slightly turned outwards and break at the knees and hips simultaneously. | Aim to get your front leg to hit parallel depth (hamstring parallel with the ground) or lower. | The further forward your front foot is, the longer the Range of Motion is at your hips. The further back your front foot is, the longer the ROM at your knees.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-bulgarian-split-squat-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-bulgarian-split-squat-side.mp4#t=0.1,https://musclewiki.com/barbell/male/glutes/barbell-bulgarian-split-squat
Barbell Floor Press,"Triceps, Chest",Barbell,Advanced,"Un-rack the bar and break at the elbows and shoulders. | Bring your elbows to the floor, rest for a second to remove all the momentum from the rep, then press to a lockout.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-floor-press-side.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-floor-press-front.mp4#t=0.1,https://musclewiki.com/barbell/male/triceps/barbell-floor-press
Barbell Front Raise,"Shoulders, Front Shoulders",Barbell,Intermediate,Stand tall with an overhand grip on the barbell. Raise your arms until your fists are around eye level. | Return to the start under control. This exercise is prone to using momentum when you begin to fatigue.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-front-raise-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-front-raise-side.mp4#t=0.1,https://musclewiki.com/barbell/male/shoulders/barbell-front-raise
Barbell Front Squat Olympic,"Abdominals, Glutes, Quads",Barbell,Advanced,Measure your hands by the markings on the bar to make sure you're even. Then throw your elbows underneath the bar. | The bar should be set so high on your shoulders it digs into your neck a bit. Make sure to push your elbows up to the ceiling for the entire rep. To make sure you don't get too pitched forward. | Use the squat stance you would use for a back or goblet squat. Push your hips back to initiate the squat. Break at the knees until you hit parallel depth. | Squat back up to a standing position.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-front-squat-olympic-side.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-front-squat-olympic-front.mp4#t=0.1,https://musclewiki.com/barbell/male/abdominals/barbell-front-squat-olympic
Barbell Front Squat Bodybuilding,"Glutes, Quads",Barbell,Advanced,Measure your shoulders against the bar to make sure you're even. Throw your shoulders under the bar. The bar should be digging into your neck slightly. | Make sure to push your elbows up to the ceiling for the entire rep. To make sure you don't get too pitched forward. | Use the squat stance you would use for a back or goblet squat. Push your hips back to initiate the squat. Break at the knees until you hit parallel depth. | Squat back up to a standing position.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-front-squat-bodybuilding-side.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-front-squat-bodybuilding-front.mp4#t=0.1,https://musclewiki.com/barbell/male/glutes/barbell-front-squat-bodybuilding
Barbell High Bar Good Morning,"Lower back, Glutes, Hamstrings",Barbell,Advanced,Place the bar on your traps. You may need a pad so the bar doesn't dig into your cervical spine. | Push your hips straight back. Your knees should stay MOSTLY extended (think soft knees). Also make sure to | Look for what feels like a stretch in your hamstrings. The stretch feeling means you're likely nearing the end of your Range of Motion without rounding your spine. | When you feel the stretch push your hips forward until you're in a standing position.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-high-bar-good-morning-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-high-bar-good-morning-side.mp4#t=0.1,https://musclewiki.com/barbell/male/lowerback/barbell-high-bar-good-morning
Barbell Low Bar Good Morning,"Lower back, Glutes, Hamstrings",Barbell,Advanced,Place the bar between your traps and rear delts. Pull your shoulder blades back to give the bar a shelf to sit on. | Push your hips back until you feel a stretch in your hamstrings. This means you're nearing the end of your Range of Motion with out rounding your spine. | When you feel the stretch push your hips forward until you'e in a standing position.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-low-bar-good-morning-side.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-low-bar-good-morning-front.mp4#t=0.1,https://musclewiki.com/barbell/male/lowerback/barbell-low-bar-good-morning
Barbell Overhead Press,"Shoulders, Front Shoulders",Barbell,Intermediate,Take a roughly shoulder width grip. There should be a straight line from your elbow to fist (vertical forearms). | Pull your chin back and press the weight toward the ceiling by extending at the elbow joint and flexing at the shoulder joint. | Press until your elbows are extended and push your head forward slightly. | Return to the start position with control. Pulling your chin back to allow the bar to pass your face safely.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-overhead-press-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-overhead-press-side.mp4#t=0.1,https://musclewiki.com/barbell/male/shoulders/barbell-overhead-press
Barbell Upright Row,"Shoulders, Traps, Front Shoulders",Barbell,Advanced,Take a double overhand roughly shoulder width grip. | Pull your elbows straight up the ceiling. Aim to get the bar to chin level or slightly higher.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-upright-row-side.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-upright-row-front.mp4#t=0.1,https://musclewiki.com/barbell/male/shoulders/barbell-upright-row
Barbell Sumo Deadlift,"Lower back, Glutes, Quads",Barbell,Intermediate,Stance width can vary with a sumo DL. Some prefer toes near the plates. Others prefer a more narrow stance to get more drive off the floor. | Make sure your arms are inside your legs. The bar should be just over your mid-foot. Flatten your back and push your heels into the floor. | Try to extend your knees and hips simultaneously.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-sumo-deadlift-side_5lcmI1F.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-sumo-deadlift-front_hI2eO77.mp4#t=0.1,https://musclewiki.com/barbell/male/lowerback/barbell-sumo-deadlift
Barbell Skullcrusher,Triceps,Barbell,Intermediate,Take a shoulder width grip. Break at the elbows. Try to keep your elbows tucked in. Don't let them flare out. | Stop the bar a few inches from your forehead and extend your elbows back up.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-skullcrusher-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-skullcrusher-side.mp4#t=0.1,https://musclewiki.com/barbell/male/triceps/barbell-skullcrusher
Barbell Situp,Abdominals,Barbell,Intermediate,Hold the bar with a slightly wider than shoulder width grip. Push the bar up toward the ceiling and maintain that elbow extension. | Flex your abs and sit-up. Aim to get your torso vertical while maintaining the barbell overhead.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-situp-side.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-situp-front.mp4#t=0.1,https://musclewiki.com/barbell/male/abdominals/barbell-situp
Barbell Reverse Curl,"Biceps, Forearms",Barbell,Advanced,Take a double overhand grip that's about shoulder width. Flex your elbows while keeping your elbows tucked in. Try not to let them flare out. | Curl until your forearm presses into your bicep. Then fully extend your elbows at the bottom of each rep.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-reverse-curl-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-reverse-curl-side.mp4#t=0.1,https://musclewiki.com/barbell/male/biceps/barbell-reverse-curl
Barbell Overhead Tricep Extension,Triceps,Barbell,Advanced,Be careful getting the bar into place overhead. Push your elbows forward while keeping your elbows tucked in. | Look for what feels like a stretch in your triceps. Extend your elbows until your fists are pointed at the ceiling.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-overhead-tricep-extension-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-overhead-tricep-extension-side.mp4#t=0.1,https://musclewiki.com/barbell/male/triceps/barbell-overhead-tricep-extension
Barbell Romanian Deadlift,"Lower back, Glutes, Hamstrings",Barbell,Intermediate,"Take a shoulder width, double overhand or mixed grip. | Push your hips back while leaving your knees mostly extended. Look for a stretch in your hamstrings. | When you feel the stretch, push your hips forward until you're back in a standing position.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-romanian-deadlift-side_dnNh5UH.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-romanian-deadlift-front.mp4#t=0.1,https://musclewiki.com/barbell/male/lowerback/barbell-romanian-deadlift
Barbell High Bar Squat,"Glutes, Quads",Barbell,Beginner,Place the bar on top of your traps. | Push your hips back and break at the knees. Push your elbows forward to keep yourself from getting pitched too far forward. | Aim to get your hamstrings to parallel with the floor. | Push your heels into the floor and squat back to a standing position.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-high-bar-squat-side.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-high-bar-squat-front.mp4#t=0.1,https://musclewiki.com/barbell/male/glutes/barbell-high-bar-squat
Barbell Low Bar Squat,"Lower back, Glutes, Quads",Barbell,Intermediate,Pull your shoulder blades back really hard and place the bar on your posterior delts. | Push your hips back and break at the knees to initiate the squat. | Aim to get your hamstrings to parallel with the ground. Push your heels into the floor and squat back up to a standing position.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-low-bar-squat-side.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-low-bar-squat-front.mp4#t=0.1,https://musclewiki.com/barbell/male/lowerback/barbell-low-bar-squat
Barbell Calf Jump,Calves,Barbell,Advanced,"Stand with your feet shoulder-width apart and your knees slightly bent. | Shift your weight onto the balls of your feet and raise stay flat footed. Using your calf muscles, mimic a jumping motion but don't leave the floor. | Explode onto your tip toes and hold for a second. | Bring your heels back to the floor then initiate the next rep.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-calf-jump-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-calf-jump-side.mp4#t=0.1,https://musclewiki.com/barbell/male/calves/barbell-calf-jump
Barbell Coan Deadlift,"Lower back, Glutes, Quads",Barbell,Intermediate,"Stand with your feet hip-width apart and place a barbell on the floor in front of you. | Bend at the hips and knees to grasp the barbell with an overhand grip, positioning your hands just outside of your hips. | Keeping your back straight and your core engaged, lift the barbell off the floor by extending your hips and knees. | As you lift the barbell, pull your shoulders back and squeeze your glutes to fully extend your hips at the top of the movement.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-coan-deadlift-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-coan-deadlift-side.mp4#t=0.1,https://musclewiki.com/barbell/male/lowerback/barbell-coan-deadlift
Barbell Forward Lunge,"Glutes, Quads",Barbell,Advanced,Stand with your feet shoulder-width apart and hold a barbell at your shoulders with an overhand grip. | Step forward with your right foot and bend both knees to lower your body until your right thigh is parallel to the ground. | Push off your right foot to return to the starting position.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-forward-lunge-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-forward-lunge-side.mp4#t=0.1,https://musclewiki.com/barbell/male/glutes/barbell-forward-lunge
Barbell Front Rack Step Up,"Glutes, Quads",Barbell,Advanced,"Stand in front of a step or bench with your feet shoulder-width apart and hold a barbell at your shoulders with an overhand grip. | Step up onto the bench with your right foot, pushing off your foot to raise your body up onto the bench. | Bring your left foot up onto the bench and stand up straight, keeping the barbell at your shoulders. | Step back down with your left foot, followed by your right foot, to return to the starting position.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-front-rack-step-up-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-front-rack-step-up-side.mp4#t=0.1,https://musclewiki.com/barbell/male/glutes/barbell-front-rack-step-up
Barbell Glute Bridge,Glutes,Barbell,Beginner,"Lie on your back on the floor with your knees bent and your feet flat on the ground. Place a barbell across your hips and grasp it with both hands. | Keeping your arms straight, push through your heels to lift your hips off the ground and raise the barbell. | Hold the bridge position for a moment, then slowly lower your hips back to the starting position.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-glute-bridge-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-glute-bridge-side.mp4#t=0.1,https://musclewiki.com/barbell/male/glutes/barbell-glute-bridge
Barbell Heels Up Back Squat,"Glutes, Quads",Barbell,Advanced,Stand with your feet shoulder-width apart and your heels on a plate or low step. | Bend your knees and lower your body into a squat position. | Push through your heels to return to the starting position.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-heels-up-back-squat-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-heels-up-back-squat-side.mp4#t=0.1,https://musclewiki.com/barbell/male/glutes/barbell-heels-up-back-squat
Barbell Heels Up Front Squat,"Glutes, Quads",Barbell,Advanced,"Stand with your feet shoulder-width apart and feet on a plate. Place the bar in a front rack position. | Bend your knees and lower your body into a squat position, keeping your heels raised off the ground. | Push through your heels to return to the starting position.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-heels-up-front-squat-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-heels-up-front-squat-side.mp4#t=0.1,https://musclewiki.com/barbell/male/glutes/barbell-heels-up-front-squat
Barbell Hooklying Bench Press,"Abdominals, Triceps, Chest",Barbell,Advanced,"Start in a bench press position with your feet planted on the bench and knees bent. | Grasp the barbell with an overhand grip, positioning your hands slightly wider than shoulder-width apart. | Lift the barbell off the rack and lower it to your chest, keeping your elbows close to your sides. | Push the barbell back up to the starting position, fully extending your arms.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-hooklying-bench-press-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-hooklying-bench-press-side.mp4#t=0.1,https://musclewiki.com/barbell/male/abdominals/barbell-hooklying-bench-press
Barbell Landmine Row,"Biceps, Traps (mid-back), Forearms, Lats",Barbell,Intermediate,"Position a barbell in a landmine or corner of a room and stand facing it with your feet shoulder-width apart. | Grasp the end of the barbell with a neutral grip, keeping your arms straight and your shoulders relaxed. | Bend at the hips and knees to lower your torso until it is almost parallel to the ground. | Pull the barbell towards your chest, squeezing your shoulder blades together as you row the weight up.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-landmine-row-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-landmine-row-side.mp4#t=0.1,https://musclewiki.com/barbell/male/biceps/barbell-landmine-row
Barbell Larsen Bench Press,"Abdominals, Triceps, Chest",Barbell,Advanced,Start in a bench press position with your legs elevated. Try to keep your knees with a slight bend in them. | Unrack the bar then initiate the rep. | Bring the bar to your torso and tap your ribcage before pressing back to the ceiling.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-larsen-bench-press-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-larsen-bench-press-side.mp4#t=0.1,https://musclewiki.com/barbell/male/abdominals/barbell-larsen-bench-press
